Cut	FaceIndex	Character
ep1.mov.Scene-379-IN	00	Euron Greyjoy
ep1.mov.Scene-386-OUT	00	Euron Greyjoy
ep1.mov.Scene-516-IN	00	Samwell Tarly
ep1.mov.Scene-516-OUT	00	Samwell Tarly
ep1.mov.Scene-518-IN	00	Samwell Tarly
ep1.mov.Scene-518-OUT	00	Samwell Tarly
ep1.mov.Scene-520-IN	00	Samwell Tarly
ep1.mov.Scene-520-OUT	00	Samwell Tarly
ep1.mov.Scene-524-OUT	00	Samwell Tarly
ep1.mov.Scene-157-OUT	00	Lady Mormont
ep1.mov.Scene-157-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-159-IN	00	Brienne of Tarth
ep1.mov.Scene-159-OUT	00	Brienne of Tarth
ep1.mov.Scene-182-OUT	00	Lady Mormont
ep1.mov.Scene-183-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-183-OUT	00	Unknown Person
ep1.mov.Scene-183-OUT	01	Unknown Person
ep1.mov.Scene-185-IN	00	Peytr Baelish
ep1.mov.Scene-812-OUT	00	Daenerys Targaryen
ep1.mov.Scene-818-OUT	00	Daenerys Targaryen
ep1.mov.Scene-820-IN	00	Daenerys Targaryen
ep1.mov.Scene-820-OUT	00	Daenerys Targaryen
ep1.mov.Scene-822-OUT	00	Daenerys Targaryen
ep1.mov.Scene-826-OUT	00	Daenerys Targaryen
ep1.mov.Scene-829-IN	00	Daenerys Targaryen
ep1.mov.Scene-577-OUT	00	Arya Stark
ep1.mov.Scene-578-IN	00	Ed Sheeran
ep1.mov.Scene-578-OUT	00	Ed Sheeran
ep1.mov.Scene-619-IN	00	Arya Stark
ep1.mov.Scene-619-OUT	00	Arya Stark
ep1.mov.Scene-620-OUT	01	Ed Sheeran
ep1.mov.Scene-621-IN	00	Arya Stark
ep1.mov.Scene-266-IN	00	Sansa Stark
ep1.mov.Scene-266-OUT	00	Sansa Stark
ep1.mov.Scene-269-OUT	00	Jaime Lannister
ep1.mov.Scene-269-OUT	01	Unknown Person
ep1.mov.Scene-804-OUT	00	Unknown Person
ep1.mov.Scene-804-OUT	01	Grey Worm
ep1.mov.Scene-804-OUT	02	Daenerys Targaryen
ep1.mov.Scene-804-OUT	03	Unknown Person
ep1.mov.Scene-806-IN	00	Daenerys Targaryen
ep1.mov.Scene-806-IN	01	Missandei
ep1.mov.Scene-806-IN	02	Varys
ep1.mov.Scene-806-IN	03	Grey Worm
ep1.mov.Scene-806-OUT	00	Daenerys Targaryen
ep1.mov.Scene-806-OUT	01	Missandei
ep1.mov.Scene-812-IN	00	Daenerys Targaryen
ep1.mov.Scene-012-OUT	00	Unknown Person
ep1.mov.Scene-012-OUT	01	Unknown - not a face____Unknown Person
ep1.mov.Scene-012-OUT	02	Unknown Person
ep1.mov.Scene-012-OUT	03	Unknown Person
ep1.mov.Scene-012-OUT	04	Unknown Person
ep1.mov.Scene-013-IN	00	Unknown Person
ep1.mov.Scene-013-OUT	00	Unknown - not a face
ep1.mov.Scene-015-IN	00	Unknown Person
ep1.mov.Scene-015-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-015-OUT	00	Unknown Person
ep1.mov.Scene-417-IN	00	Unknown Person
ep1.mov.Scene-417-OUT	00	Samwell Tarly
ep1.mov.Scene-421-OUT	01	Unknown Person
ep1.mov.Scene-424-OUT	00	Unknown Person
ep1.mov.Scene-691-OUT	00	the hound
ep1.mov.Scene-692-IN	00	the hound
ep1.mov.Scene-692-OUT	00	the hound
ep1.mov.Scene-693-IN	00	the hound
ep1.mov.Scene-693-OUT	00	the hound
ep1.mov.Scene-694-IN	00	the hound
ep1.mov.Scene-694-OUT	00	the hound
ep1.mov.Scene-757-IN	00	Samwell Tarly
ep1.mov.Scene-757-OUT	00	Samwell Tarly
ep1.mov.Scene-761-OUT	00	Samwell Tarly
ep1.mov.Scene-799-IN	00	Daenerys Targaryen
ep1.mov.Scene-799-OUT	00	Daenerys Targaryen
ep1.mov.Scene-801-IN	00	Daenerys Targaryen
ep1.mov.Scene-801-OUT	00	Daenerys Targaryen
ep1.mov.Scene-803-OUT	00	Daenerys Targaryen
ep1.mov.Scene-804-IN	00	Daenerys Targaryen
ep1.mov.Scene-130-IN	00	Bronn
ep1.mov.Scene-130-OUT	00	Bronn
ep1.mov.Scene-130-OUT	01	Unknown Person
ep1.mov.Scene-131-IN	00	Unknown Person
ep1.mov.Scene-328-IN	00	Cersei Lannister
ep1.mov.Scene-328-OUT	00	Cersei Lannister
ep1.mov.Scene-334-IN	00	Tyrion Lannister
ep1.mov.Scene-234-OUT	00	Sansa Stark
ep1.mov.Scene-236-OUT	00	Sansa Stark
ep1.mov.Scene-238-IN	00	Sansa Stark
ep1.mov.Scene-238-OUT	00	Sansa Stark
ep1.mov.Scene-242-IN	00	Sansa Stark
ep1.mov.Scene-244-OUT	00	Sansa Stark
ep1.mov.Scene-248-IN	00	Sansa Stark
ep1.mov.Scene-501-OUT	00	Samwell Tarly
ep1.mov.Scene-503-OUT	00	Samwell Tarly
ep1.mov.Scene-505-IN	00	Samwell Tarly
ep1.mov.Scene-506-IN	00	Samwell Tarly
ep1.mov.Scene-506-OUT	00	Samwell Tarly
ep1.mov.Scene-514-IN	00	Samwell Tarly
ep1.mov.Scene-514-OUT	00	Samwell Tarly
ep1.mov.Scene-786-IN	00	Daenerys Targaryen
ep1.mov.Scene-786-IN	02	Tyrion Lannister
ep1.mov.Scene-786-OUT	00	Daenerys Targaryen
ep1.mov.Scene-789-OUT	00	Daenerys Targaryen
ep1.mov.Scene-793-IN	00	Daenerys Targaryen
ep1.mov.Scene-797-OUT	00	Daenerys Targaryen
ep1.mov.Scene-772-OUT	00	Unknown Person
ep1.mov.Scene-778-IN	00	Samwell Tarly
ep1.mov.Scene-778-OUT	00	Samwell Tarly
ep1.mov.Scene-057-IN	00	Unknown Person
ep1.mov.Scene-057-IN	02	Unknown Person
ep1.mov.Scene-057-IN	03	Unknown Person
ep1.mov.Scene-057-OUT	00	Unknown Person
ep1.mov.Scene-057-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-057-OUT	02	Unknown Person
ep1.mov.Scene-057-OUT	03	Unknown Person____Unknown - not a face
ep1.mov.Scene-058-OUT	00	Walder Frey
ep1.mov.Scene-537-OUT	00	Brienne of Tarth
ep1.mov.Scene-538-IN	00	Tormund
ep1.mov.Scene-538-OUT	00	Tormund
ep1.mov.Scene-539-OUT	00	Brienne of Tarth
ep1.mov.Scene-733-IN	00	Unknown Person
ep1.mov.Scene-733-OUT	00	Unknown Person
ep1.mov.Scene-734-IN	00	the hound
ep1.mov.Scene-736-OUT	00	the hound
ep1.mov.Scene-737-IN	00	the hound
ep1.mov.Scene-738-IN	00	the hound
ep1.mov.Scene-738-OUT	00	Unknown Person
ep1.mov.Scene-587-IN	00	Arya Stark
ep1.mov.Scene-587-OUT	00	Arya Stark
ep1.mov.Scene-589-IN	00	Arya Stark
ep1.mov.Scene-028-OUT	00	Unknown Person
ep1.mov.Scene-028-OUT	02	Unknown Person
ep1.mov.Scene-028-OUT	04	Unknown Person____Unknown - not a face
ep1.mov.Scene-028-OUT	06	Unknown Person
ep1.mov.Scene-030-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-030-IN	01	Unknown Person
ep1.mov.Scene-030-OUT	00	Unknown Person
ep1.mov.Scene-030-OUT	01	Unknown Person
ep1.mov.Scene-030-OUT	02	Unknown Person____Unknown - not a face
ep1.mov.Scene-053-IN	00	Walder Frey
ep1.mov.Scene-053-OUT	00	Walder Frey
ep1.mov.Scene-054-IN	00	Unknown Person
ep1.mov.Scene-054-OUT	00	Unknown Person
ep1.mov.Scene-054-OUT	01	Unknown Person
ep1.mov.Scene-055-IN	00	Walder Frey
ep1.mov.Scene-700-IN	00	the hound
ep1.mov.Scene-700-OUT	00	the hound
ep1.mov.Scene-701-OUT	00	the hound
ep1.mov.Scene-702-OUT	00	the hound
ep1.mov.Scene-703-IN	00	the hound
ep1.mov.Scene-703-OUT	00	the hound
ep1.mov.Scene-027-OUT	00	Unknown Person
ep1.mov.Scene-028-IN	03	Unknown Person
ep1.mov.Scene-028-IN	04	Unknown Person
ep1.mov.Scene-028-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-028-IN	02	Unknown - not a face
ep1.mov.Scene-074-IN	00	Walder Frey
ep1.mov.Scene-076-OUT	00	Arya Stark
ep1.mov.Scene-093-IN	00	Unknown - not a face
ep1.mov.Scene-541-OUT	00	Brienne of Tarth
ep1.mov.Scene-542-IN	00	Brienne of Tarth
ep1.mov.Scene-544-IN	00	Tormund
ep1.mov.Scene-544-OUT	00	Tormund
ep1.mov.Scene-218-OUT	00	Unknown - not a face
ep1.mov.Scene-219-IN	00	Lady Mormont
ep1.mov.Scene-219-OUT	00	Lady Mormont
ep1.mov.Scene-221-IN	00	Unknown Person
ep1.mov.Scene-221-OUT	00	Unknown Person
ep1.mov.Scene-595-OUT	00	Arya Stark
ep1.mov.Scene-596-IN	00	Brienne of Tarth
ep1.mov.Scene-597-OUT	01	Unknown - not a face
ep1.mov.Scene-597-OUT	00	Unknown Person
ep1.mov.Scene-479-OUT	00	Samwell Tarly
ep1.mov.Scene-484-IN	00	Samwell Tarly
ep1.mov.Scene-488-IN	00	Unknown - not a face
ep1.mov.Scene-488-OUT	00	Unknown - not a face
ep1.mov.Scene-492-IN	00	Samwell Tarly
ep1.mov.Scene-494-IN	00	Samwell Tarly
ep1.mov.Scene-591-IN	00	Arya Stark
ep1.mov.Scene-213-IN	00	Sansa Stark
ep1.mov.Scene-213-OUT	00	Sansa Stark
ep1.mov.Scene-214-OUT	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-215-IN	00	null
ep1.mov.Scene-186-OUT	00	Unknown Person
ep1.mov.Scene-191-OUT	01	Jon Snow
ep1.mov.Scene-192-IN	00	Jon Snow
ep1.mov.Scene-006-OUT	00	Unknown Person
ep1.mov.Scene-168-OUT	00	Unknown Person
ep1.mov.Scene-168-OUT	01	Unknown Person
ep1.mov.Scene-172-OUT	00	Unknown - not a face
ep1.mov.Scene-174-IN	00	Unknown Person
ep1.mov.Scene-174-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-174-IN	02	Lady Mormont
ep1.mov.Scene-178-IN	01	Unknown - not a face
ep1.mov.Scene-637-IN	01	Unknown Person
ep1.mov.Scene-638-IN	00	Arya Stark
ep1.mov.Scene-644-IN	00	the hound
ep1.mov.Scene-369-IN	00	Cersei Lannister
ep1.mov.Scene-373-IN	00	Cersei Lannister
ep1.mov.Scene-373-OUT	00	Cersei Lannister
ep1.mov.Scene-271-IN	01	Unknown Person
ep1.mov.Scene-271-OUT	01	Cersei Lannister
ep1.mov.Scene-274-IN	00	Cersei Lannister
ep1.mov.Scene-274-OUT	00	Cersei Lannister
ep1.mov.Scene-016-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-016-OUT	00	Unknown Person
ep1.mov.Scene-016-OUT	01	Unknown Person
ep1.mov.Scene-017-IN	00	Unknown Person
ep1.mov.Scene-017-IN	01	Unknown Person
ep1.mov.Scene-017-IN	02	Unknown Person
ep1.mov.Scene-017-IN	03	Unknown Person
ep1.mov.Scene-017-IN	04	Unknown Person
ep1.mov.Scene-017-IN	05	Unknown Person
ep1.mov.Scene-017-IN	06	Unknown Person
ep1.mov.Scene-017-IN	07	Unknown Person
ep1.mov.Scene-684-OUT	00	the hound
ep1.mov.Scene-686-IN	00	Unknown Person
ep1.mov.Scene-686-OUT	00	the hound
ep1.mov.Scene-687-IN	00	Unknown Person
ep1.mov.Scene-281-OUT	00	Cersei Lannister
ep1.mov.Scene-545-IN	00	Brienne of Tarth
ep1.mov.Scene-548-IN	01	Sansa Stark
ep1.mov.Scene-548-OUT	01	Peytr Baelish
ep1.mov.Scene-550-IN	01	Sansa Stark
ep1.mov.Scene-550-OUT	00	Sansa Stark
ep1.mov.Scene-726-OUT	00	the hound
ep1.mov.Scene-727-IN	00	the hound
ep1.mov.Scene-727-OUT	00	the hound
ep1.mov.Scene-728-IN	00	the hound
ep1.mov.Scene-730-IN	00	Unknown Person
ep1.mov.Scene-196-IN	00	Peytr Baelish
ep1.mov.Scene-196-OUT	00	Peytr Baelish
ep1.mov.Scene-202-OUT	00	Jon Snow
ep1.mov.Scene-603-OUT	00	Arya Stark
ep1.mov.Scene-604-IN	00	Arya Stark
ep1.mov.Scene-604-IN	01	Unknown Person
ep1.mov.Scene-605-IN	00	Yara Greyjoy
ep1.mov.Scene-041-IN	00	Walder Frey
ep1.mov.Scene-041-OUT	00	Walder Frey
ep1.mov.Scene-017-OUT	01	Unknown Person
ep1.mov.Scene-695-IN	00	the hound
ep1.mov.Scene-697-OUT	00	the hound
ep1.mov.Scene-698-IN	00	the hound
ep1.mov.Scene-699-IN	00	Unknown Person
ep1.mov.Scene-648-IN	00	the hound
ep1.mov.Scene-650-OUT	00	the hound
ep1.mov.Scene-671-OUT	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-673-IN	00	Unknown - not a face____Unknown Person
ep1.mov.Scene-675-OUT	00	Unknown Person
ep1.mov.Scene-707-IN	00	the hound
ep1.mov.Scene-707-OUT	00	Unknown Person
ep1.mov.Scene-708-IN	00	the hound
ep1.mov.Scene-708-OUT	00	the hound
ep1.mov.Scene-709-IN	00	the hound
ep1.mov.Scene-709-OUT	00	the hound
ep1.mov.Scene-138-OUT	00	Bronn
ep1.mov.Scene-139-IN	00	Bronn
ep1.mov.Scene-139-OUT	00	Bronn
ep1.mov.Scene-622-IN	00	Unknown - not a face
ep1.mov.Scene-624-IN	00	Arya Stark
ep1.mov.Scene-625-IN	00	Arya Stark
ep1.mov.Scene-687-OUT	00	the hound
ep1.mov.Scene-689-IN	00	the hound
ep1.mov.Scene-689-OUT	00	Unknown Person
ep1.mov.Scene-691-IN	00	the hound
ep1.mov.Scene-732-OUT	00	the hound
ep1.mov.Scene-043-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-043-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-043-IN	02	Unknown Person____Unknown - not a face
ep1.mov.Scene-043-IN	03	Unknown Person____Unknown - not a face
ep1.mov.Scene-043-OUT	01	Walder Frey
ep1.mov.Scene-043-OUT	02	Unknown Person
ep1.mov.Scene-043-OUT	03	Unknown Person
ep1.mov.Scene-045-IN	00	Unknown Person
ep1.mov.Scene-045-IN	01	Unknown Person
ep1.mov.Scene-045-IN	02	Unknown Person
ep1.mov.Scene-032-IN	00	Unknown Person
ep1.mov.Scene-032-OUT	00	Unknown - not a face
ep1.mov.Scene-034-IN	00	Unknown - not a face
ep1.mov.Scene-034-OUT	00	Unknown Person
ep1.mov.Scene-034-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-300-IN	00	Cersei Lannister
ep1.mov.Scene-300-OUT	00	Cersei Lannister
ep1.mov.Scene-300-OUT	01	Unknown - not a face
ep1.mov.Scene-704-IN	00	the hound
ep1.mov.Scene-704-OUT	00	the hound
ep1.mov.Scene-705-IN	00	the hound
ep1.mov.Scene-706-IN	00	the hound
ep1.mov.Scene-706-OUT	00	the hound
ep1.mov.Scene-023-IN	02	Unknown - not a face____Unknown Person
ep1.mov.Scene-023-IN	03	Unknown Person
ep1.mov.Scene-178-OUT	00	Unknown Person
ep1.mov.Scene-178-OUT	01	Unknown - not a face____Unknown Person
ep1.mov.Scene-182-IN	00	Lady Mormont
ep1.mov.Scene-166-OUT	00	Unknown Person
ep1.mov.Scene-166-OUT	02	Unknown Person
ep1.mov.Scene-166-OUT	03	Unknown Person____Unknown - not a face
ep1.mov.Scene-166-OUT	04	Unknown Person____Unknown - not a face
ep1.mov.Scene-168-IN	02	Unknown Person
ep1.mov.Scene-360-IN	00	Unknown Person
ep1.mov.Scene-362-IN	00	Unknown - not a face
ep1.mov.Scene-164-OUT	00	Lady Mormont
ep1.mov.Scene-764-IN	00	Samwell Tarly
ep1.mov.Scene-764-OUT	00	Samwell Tarly
ep1.mov.Scene-766-IN	00	Samwell Tarly
ep1.mov.Scene-206-IN	00	Sansa Stark
ep1.mov.Scene-530-IN	00	Unknown Person
ep1.mov.Scene-531-IN	00	Brienne of Tarth
ep1.mov.Scene-531-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-531-OUT	01	Unknown Person
ep1.mov.Scene-531-OUT	02	Unknown Person
ep1.mov.Scene-747-IN	00	Samwell Tarly
ep1.mov.Scene-747-OUT	00	Samwell Tarly
ep1.mov.Scene-749-IN	00	Unknown Person
ep1.mov.Scene-749-OUT	00	Unknown Person
ep1.mov.Scene-279-IN	00	Cersei Lannister
ep1.mov.Scene-279-OUT	00	Cersei Lannister
ep1.mov.Scene-281-IN	00	Cersei Lannister
ep1.mov.Scene-203-IN	01	Jon Snow
ep1.mov.Scene-150-IN	00	Unknown Person
ep1.mov.Scene-150-OUT	00	Unknown Person
ep1.mov.Scene-150-OUT	02	Unknown Person
ep1.mov.Scene-562-OUT	00	Sansa Stark
ep1.mov.Scene-564-IN	00	Sansa Stark
ep1.mov.Scene-567-IN	00	Sansa Stark
ep1.mov.Scene-573-OUT	00	Arya Stark
ep1.mov.Scene-575-IN	00	Unknown Person
ep1.mov.Scene-705-OUT	00	the hound
ep1.mov.Scene-194-IN	00	Jon Snow
ep1.mov.Scene-194-OUT	00	Jon Snow
ep1.mov.Scene-552-IN	00	Sansa Stark
ep1.mov.Scene-560-OUT	00	Sansa Stark
ep1.mov.Scene-310-IN	00	Cersei Lannister
ep1.mov.Scene-313-IN	00	Cersei Lannister
ep1.mov.Scene-313-OUT	00	Cersei Lannister
ep1.mov.Scene-601-IN	00	Arya Stark
ep1.mov.Scene-203-OUT	02	Unknown Person
ep1.mov.Scene-203-OUT	00	Unknown Person
ep1.mov.Scene-626-OUT	00	Daenerys Targaryen
ep1.mov.Scene-631-IN	00	Arya Stark
ep1.mov.Scene-679-IN	00	the hound
ep1.mov.Scene-679-OUT	00	the hound
ep1.mov.Scene-680-IN	00	the hound
ep1.mov.Scene-680-OUT	00	the hound
ep1.mov.Scene-681-IN	00	the hound
ep1.mov.Scene-681-OUT	00	the hound
ep1.mov.Scene-682-IN	00	Unknown Person
ep1.mov.Scene-133-OUT	00	Bran Stark
ep1.mov.Scene-134-IN	00	Benjen Stark
ep1.mov.Scene-134-IN	01	Unknown Person
ep1.mov.Scene-134-IN	02	Unknown Person
ep1.mov.Scene-134-IN	03	Unknown Person
ep1.mov.Scene-722-OUT	00	the hound
ep1.mov.Scene-723-IN	00	the hound
ep1.mov.Scene-724-IN	00	the hound
ep1.mov.Scene-724-OUT	00	the hound
ep1.mov.Scene-725-IN	00	the hound
ep1.mov.Scene-725-OUT	00	the hound
ep1.mov.Scene-024-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-208-IN	00	Sansa Stark
ep1.mov.Scene-750-OUT	00	Samwell Tarly
ep1.mov.Scene-284-OUT	00	Cersei Lannister
ep1.mov.Scene-286-IN	00	Cersei Lannister
ep1.mov.Scene-286-OUT	00	Cersei Lannister
ep1.mov.Scene-288-IN	00	Cersei Lannister
ep1.mov.Scene-739-IN	00	the hound
ep1.mov.Scene-739-OUT	00	the hound
ep1.mov.Scene-740-IN	00	the hound
ep1.mov.Scene-741-IN	00	the hound
ep1.mov.Scene-302-IN	00	Unknown Person
ep1.mov.Scene-302-OUT	00	Cersei Lannister
ep1.mov.Scene-780-IN	00	Samwell Tarly
ep1.mov.Scene-781-IN	00	Daenerys Targaryen
ep1.mov.Scene-781-OUT	00	Daenerys Targaryen
ep1.mov.Scene-782-OUT	00	Missandei
ep1.mov.Scene-782-OUT	01	Daenerys Targaryen
ep1.mov.Scene-782-OUT	02	Brienne of Tarth
ep1.mov.Scene-782-OUT	03	Tyrion Lannister
ep1.mov.Scene-784-IN	02	Brienne of Tarth
ep1.mov.Scene-784-IN	03	Tyrion Lannister
ep1.mov.Scene-784-IN	00	Missandei
ep1.mov.Scene-784-IN	01	Daenerys Targaryen
ep1.mov.Scene-606-IN	00	Arya Stark
ep1.mov.Scene-606-OUT	00	Arya Stark
ep1.mov.Scene-608-OUT	00	Arya Stark
ep1.mov.Scene-609-IN	01	Unknown Person
ep1.mov.Scene-065-OUT	00	Walder Frey
ep1.mov.Scene-069-IN	00	Unknown Person
ep1.mov.Scene-576-IN	00	Ed Sheeran
ep1.mov.Scene-577-IN	00	Arya Stark
ep1.mov.Scene-259-OUT	00	Sansa Stark
ep1.mov.Scene-260-IN	00	Sansa Stark
ep1.mov.Scene-260-OUT	00	Sansa Stark
ep1.mov.Scene-261-IN	00	Jon Snow
ep1.mov.Scene-288-OUT	00	Cersei Lannister
ep1.mov.Scene-294-IN	00	Cersei Lannister
ep1.mov.Scene-263-IN	00	Sansa Stark
ep1.mov.Scene-263-IN	01	Jon Snow
ep1.mov.Scene-263-OUT	00	Sansa Stark
ep1.mov.Scene-264-IN	00	Sansa Stark
ep1.mov.Scene-264-OUT	00	Sansa Stark
ep1.mov.Scene-265-IN	00	Jon Snow
ep1.mov.Scene-045-OUT	00	Unknown - not a face____Unknown Person
ep1.mov.Scene-045-OUT	01	Unknown Person
ep1.mov.Scene-045-OUT	02	Unknown - not a face____Unknown Person
ep1.mov.Scene-046-IN	00	Unknown Person
ep1.mov.Scene-046-IN	01	Unknown Person
ep1.mov.Scene-046-IN	02	Unknown Person
ep1.mov.Scene-046-OUT	00	Unknown Person
ep1.mov.Scene-047-IN	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-047-OUT	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-047-OUT	00	Unknown Person____Unknown - not a face
ep1.mov.Scene-134-OUT	02	Unknown Person
ep1.mov.Scene-135-IN	00	Bran Stark
ep1.mov.Scene-136-OUT	00	Bronn
ep1.mov.Scene-137-IN	00	Bran Stark
ep1.mov.Scene-137-OUT	00	Bran Stark
ep1.mov.Scene-598-IN	01	Cersei Lannister
ep1.mov.Scene-598-IN	02	Unknown - not a face
ep1.mov.Scene-714-IN	00	the hound
ep1.mov.Scene-714-OUT	00	the hound
ep1.mov.Scene-715-IN	00	the hound
ep1.mov.Scene-715-OUT	00	the hound
ep1.mov.Scene-315-IN	00	Cersei Lannister
ep1.mov.Scene-315-OUT	00	Cersei Lannister
ep1.mov.Scene-007-IN	04	Unknown Person
ep1.mov.Scene-007-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-007-IN	02	Unknown Person
ep1.mov.Scene-007-IN	03	Unknown - not a face
ep1.mov.Scene-716-IN	00	the hound
ep1.mov.Scene-716-OUT	00	Unknown Person
ep1.mov.Scene-717-IN	00	the hound
ep1.mov.Scene-393-OUT	00	Cersei Lannister
ep1.mov.Scene-395-IN	00	Cersei Lannister
ep1.mov.Scene-341-IN	00	Cersei Lannister
ep1.mov.Scene-346-IN	00	Unknown - not a face
ep1.mov.Scene-304-IN	00	Cersei Lannister
ep1.mov.Scene-304-OUT	00	Cersei Lannister
ep1.mov.Scene-306-OUT	00	Cersei Lannister
ep1.mov.Scene-717-OUT	00	the hound
ep1.mov.Scene-093-OUT	00	Unknown - not a face
ep1.mov.Scene-094-IN	00	Unknown - not a face
ep1.mov.Scene-102-IN	00	Unknown - not a face
ep1.mov.Scene-127-OUT	00	Unknown Person
ep1.mov.Scene-128-OUT	02	Unknown Person
ep1.mov.Scene-277-IN	00	Cersei Lannister
ep1.mov.Scene-277-OUT	00	Cersei Lannister
ep1.mov.Scene-225-IN	02	Unknown Person
ep1.mov.Scene-227-IN	00	Sansa Stark
ep1.mov.Scene-232-IN	00	Sansa Stark
ep1.mov.Scene-232-OUT	00	Sansa Stark
ep1.mov.Scene-234-IN	00	Sansa Stark
ep1.mov.Scene-215-OUT	00	Unknown Person
ep1.mov.Scene-216-OUT	01	Arya Stark
ep1.mov.Scene-211-OUT	00	Jon Snow
ep1.mov.Scene-212-IN	00	Unknown Person
ep1.mov.Scene-212-OUT	01	Unknown Person
ep1.mov.Scene-212-OUT	02	Unknown Person____Unknown - not a face
ep1.mov.Scene-212-OUT	00	Unknown - not a face
ep1.mov.Scene-580-IN	00	Ed Sheeran
ep1.mov.Scene-580-IN	01	Ed Sheeran
ep1.mov.Scene-581-OUT	00	Arya Stark
ep1.mov.Scene-582-OUT	00	Arya Stark
ep1.mov.Scene-583-IN	00	Arya Stark
ep1.mov.Scene-585-IN	00	Arya Stark
ep1.mov.Scene-469-OUT	00	Unknown Person
ep1.mov.Scene-473-OUT	00	Unknown Person
ep1.mov.Scene-475-IN	00	Unknown Person
ep1.mov.Scene-478-IN	00	Samwell Tarly
ep1.mov.Scene-741-OUT	00	the hound
ep1.mov.Scene-746-IN	00	Unknown Person
ep1.mov.Scene-007-OUT	00	Unknown Person
ep1.mov.Scene-007-OUT	01	Unknown Person
ep1.mov.Scene-009-IN	00	Unknown Person
ep1.mov.Scene-009-IN	01	Unknown Person
ep1.mov.Scene-009-IN	02	Unknown Person____Unknown - not a face
ep1.mov.Scene-009-OUT	00	Unknown Person
ep1.mov.Scene-012-IN	04	Unknown Person
ep1.mov.Scene-012-IN	00	Unknown Person
ep1.mov.Scene-012-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-012-IN	02	Unknown Person
ep1.mov.Scene-012-IN	03	Unknown Person
ep1.mov.Scene-155-OUT	00	Unknown Person
ep1.mov.Scene-157-IN	01	Unknown Person____Unknown - not a face
ep1.mov.Scene-498-IN	00	Samwell Tarly
ep1.mov.Scene-501-IN	00	Samwell Tarly
ep1.mov.Scene-615-OUT	00	Arya Stark
ep1.mov.Scene-616-IN	00	Ed Sheeran
